Date,Cumulative travelers Screened,Suspected at Points of Entry,Travelers Screened at Points ofEntry in last 24 hours
2020-03-11,873288,26,21102
2020-03-12,894256,29,20968
2020-03-13,913542,33,19286
2020-03-14,933970,43,20428
2020-03-15,954646,59,20676
2020-03-16,975634,74,20988
2020-03-17,995821,95,20187
2020-03-18,1015909,115,20088
2020-03-19,1033884,151,17975
2020-03-20,1049282,170,15398
2020-03-21,1063193,186,13911
2020-03-22,1077632,202,14439
2020-03-23,1089933,217,12301
2020-03-24,1102234,232,12301
2020-03-25,1102383,234,149
2020-03-26,1102383,234,0
2020-03-27,1102383,234,0
2020-03-28,1102383,234,0
2020-03-29,1102383,234,0
2020-03-30,1102562,234,0
2020-03-31,1102562,234,0
2020-04-01,1102562,234,0
2020-04-02,1102562,234,0
2020-04-03,1102562,234,0
