Returnees,Advised Self-Quarantine,Cumulative no offirst-time calls,Cumulativefollow-up calls,Date,First-time calls inpast 24 hrs,Follow-up calls inpast 24 hrs
 Iran,0,9459,2553,2020-03-11,0,353
 China,11,5342,7746,2020-03-11,17,400
 Iran,14,9475,3221,2020-03-12,16,668
 China,7,5352,7855,2020-03-12,10,109
 Iran,0,9475,3853,2020-03-13,0,632
 China,10,5362,8041,2020-03-13,10,186
 Iran,3,9480,4182,2020-03-14,5,329
 China,5,5370,8083,2020-03-14,8,42
 Iran,0,9480,4625,2020-03-15,0,443
 China,0,5370,8160,2020-03-15,0,77
 Iran,3,9488,4625,2020-03-16,8,0
 China,11,5394,8160,2020-03-16,24,0
 Iran,0,9488,5063,2020-03-17,0,438
 China,13,5413,8180,2020-03-17,19,20
 Iran,0,9488,5337,2020-03-18,0,274
 China,16,5439,8899,2020-03-18,26,719
 Iran,0,9488,5337,2020-03-19,0,32
 China,0,5441,9392,2020-03-19,2,493
 Iran,0,9488,5623,2020-03-20,0,286
 China,8,5458,9392,2020-03-20,17,0
 Iran,1,9489,5977,2020-03-21,1,354
 China,1,5462,9658,2020-03-21,4,266
 Iran,0,9489,6116,2020-03-22,0,139
 China,3,5473,10109,2020-03-22,11,451
 Iran,0,9489,6289,2020-03-23,0,173
 China,1,5474,10451,2020-03-23,1,342
 Iran,0,9489,6289,2020-03-24,0,0
 China,0,5474,10875,2020-03-24,0,424
 Iran,0,9489,6474,2020-03-25,0,185
 China,0,5474,11110,2020-03-25,0,235
 Iran,0,9489,6890,2020-03-26,0,416
 China,0,5474,11460,2020-03-26,0,350
 Iran,0,9489,6923,2020-03-27,0,133
 China,0,5474,11727,2020-03-27,0,267
 Iran,0,9489,7115,2020-03-28,0,192
 China,0,5474,12247,2020-03-28,0,520
 Iran,0,9489,7115,2020-03-29,0,0
 China,0,5474,12409,2020-03-29,0,162
 Iran,0,9489,7215,2020-03-30,0,100
 China,0,5474,12480,2020-03-30,0,71
