Count,Date,News,Agg News
0,2020-03-11,Updates: Pakistan:,"Updates: Pakistan: 
 Three new cases have been confirmed in the past 24 hours, bringing the tally to 19. • 
 Number of calls to passengers returning from Iraq: 144 • 
 Global: 
 Total cases: 118,887,  Total Deaths: 4,290 • 
 Total affected countries: 109 including Turkey and Panama. •"
1,2020-03-11,"Three new cases have been confirmed in the past 24 hours, bringing the tally to 19. •","Updates: Pakistan: 
 Three new cases have been confirmed in the past 24 hours, bringing the tally to 19. • 
 Number of calls to passengers returning from Iraq: 144 • 
 Global: 
 Total cases: 118,887,  Total Deaths: 4,290 • 
 Total affected countries: 109 including Turkey and Panama. •"
2,2020-03-11,Number of calls to passengers returning from Iraq: 144 •,"Updates: Pakistan: 
 Three new cases have been confirmed in the past 24 hours, bringing the tally to 19. • 
 Number of calls to passengers returning from Iraq: 144 • 
 Global: 
 Total cases: 118,887,  Total Deaths: 4,290 • 
 Total affected countries: 109 including Turkey and Panama. •"
3,2020-03-11,Global:,"Updates: Pakistan: 
 Three new cases have been confirmed in the past 24 hours, bringing the tally to 19. • 
 Number of calls to passengers returning from Iraq: 144 • 
 Global: 
 Total cases: 118,887,  Total Deaths: 4,290 • 
 Total affected countries: 109 including Turkey and Panama. •"
4,2020-03-11,"Total cases: 118,887,  Total Deaths: 4,290 •","Updates: Pakistan: 
 Three new cases have been confirmed in the past 24 hours, bringing the tally to 19. • 
 Number of calls to passengers returning from Iraq: 144 • 
 Global: 
 Total cases: 118,887,  Total Deaths: 4,290 • 
 Total affected countries: 109 including Turkey and Panama. •"
5,2020-03-11,Total affected countries: 109 including Turkey and Panama. •,"Updates: Pakistan: 
 Three new cases have been confirmed in the past 24 hours, bringing the tally to 19. • 
 Number of calls to passengers returning from Iraq: 144 • 
 Global: 
 Total cases: 118,887,  Total Deaths: 4,290 • 
 Total affected countries: 109 including Turkey and Panama. •"
0,2020-03-12,Updates: Pakistan:,"Updates: Pakistan: 
 One case confirmed from GB, bringing the total to 20.  • 
 Number of calls to passengers returning from Italy: 71 • 
 Global: 
 Total cases: 125,860, Total Deaths: 4,619 • 
 Total affected countries: 116 including Jordan and Congo   •"
1,2020-03-12,"One case confirmed from GB, bringing the total to 20.  •","Updates: Pakistan: 
 One case confirmed from GB, bringing the total to 20.  • 
 Number of calls to passengers returning from Italy: 71 • 
 Global: 
 Total cases: 125,860, Total Deaths: 4,619 • 
 Total affected countries: 116 including Jordan and Congo   •"
2,2020-03-12,Number of calls to passengers returning from Italy: 71 •,"Updates: Pakistan: 
 One case confirmed from GB, bringing the total to 20.  • 
 Number of calls to passengers returning from Italy: 71 • 
 Global: 
 Total cases: 125,860, Total Deaths: 4,619 • 
 Total affected countries: 116 including Jordan and Congo   •"
3,2020-03-12,Global:,"Updates: Pakistan: 
 One case confirmed from GB, bringing the total to 20.  • 
 Number of calls to passengers returning from Italy: 71 • 
 Global: 
 Total cases: 125,860, Total Deaths: 4,619 • 
 Total affected countries: 116 including Jordan and Congo   •"
4,2020-03-12,"Total cases: 125,860, Total Deaths: 4,619 •","Updates: Pakistan: 
 One case confirmed from GB, bringing the total to 20.  • 
 Number of calls to passengers returning from Italy: 71 • 
 Global: 
 Total cases: 125,860, Total Deaths: 4,619 • 
 Total affected countries: 116 including Jordan and Congo   •"
5,2020-03-12,Total affected countries: 116 including Jordan and Congo   •,"Updates: Pakistan: 
 One case confirmed from GB, bringing the total to 20.  • 
 Number of calls to passengers returning from Italy: 71 • 
 Global: 
 Total cases: 125,860, Total Deaths: 4,619 • 
 Total affected countries: 116 including Jordan and Congo   •"
0,2020-03-13,Updates: Pakistan:,"Updates: Pakistan: 
 One case confirmed from Sindh, bringing the total to 21.  • 
 Number of calls to passengers returning from Italy: 40 • 
 Global: 
 Total cases: 133,138, Total Deaths: 4,983 • 
 Total affected countries: 116 including Guyana  •"
