Count,Date,NIH Preparedness and Response,Agg NIH Preparedness and Response
0,2020-03-11,BSL-3 mobile lab with state of art equipment has been installed at Taftan and ready for testing. •,"BSL-3 mobile lab with state of art equipment has been installed at Taftan and ready for testing. • 
 IPC trainings have been completed at Gilgit and the tem is moving towards Skardu. • 
 Training of the GB lab staff has been conducted at NIH and necessary equipment provided. • 
 IPC training is in progress for FG Hospital staff at NIH. •"
1,2020-03-11,IPC trainings have been completed at Gilgit and the tem is moving towards Skardu. •,"BSL-3 mobile lab with state of art equipment has been installed at Taftan and ready for testing. • 
 IPC trainings have been completed at Gilgit and the tem is moving towards Skardu. • 
 Training of the GB lab staff has been conducted at NIH and necessary equipment provided. • 
 IPC training is in progress for FG Hospital staff at NIH. •"
2,2020-03-11,Training of the GB lab staff has been conducted at NIH and necessary equipment provided. •,"BSL-3 mobile lab with state of art equipment has been installed at Taftan and ready for testing. • 
 IPC trainings have been completed at Gilgit and the tem is moving towards Skardu. • 
 Training of the GB lab staff has been conducted at NIH and necessary equipment provided. • 
 IPC training is in progress for FG Hospital staff at NIH. •"
3,2020-03-11,IPC training is in progress for FG Hospital staff at NIH. •,"BSL-3 mobile lab with state of art equipment has been installed at Taftan and ready for testing. • 
 IPC trainings have been completed at Gilgit and the tem is moving towards Skardu. • 
 Training of the GB lab staff has been conducted at NIH and necessary equipment provided. • 
 IPC training is in progress for FG Hospital staff at NIH. •"
0,2020-03-12,BSL-3 mobile lab is ready for testing.  •,"BSL-3 mobile lab is ready for testing.  • 
 IPC trainings and hospital assessment have started in Skardu.  • 
 Training of the GB lab staff has been conducted at NIH and necessary  equipment provided. • 
 IPC training is in progress for Railway General Hospital, Rawalpindi •"
1,2020-03-12,IPC trainings and hospital assessment have started in Skardu.  •,"BSL-3 mobile lab is ready for testing.  • 
 IPC trainings and hospital assessment have started in Skardu.  • 
 Training of the GB lab staff has been conducted at NIH and necessary  equipment provided. • 
 IPC training is in progress for Railway General Hospital, Rawalpindi •"
2,2020-03-12,Training of the GB lab staff has been conducted at NIH and necessary  equipment provided. •,"BSL-3 mobile lab is ready for testing.  • 
 IPC trainings and hospital assessment have started in Skardu.  • 
 Training of the GB lab staff has been conducted at NIH and necessary  equipment provided. • 
 IPC training is in progress for Railway General Hospital, Rawalpindi •"
3,2020-03-12,"IPC training is in progress for Railway General Hospital, Rawalpindi •","BSL-3 mobile lab is ready for testing.  • 
 IPC trainings and hospital assessment have started in Skardu.  • 
 Training of the GB lab staff has been conducted at NIH and necessary  equipment provided. • 
 IPC training is in progress for Railway General Hospital, Rawalpindi •"
0,2020-03-13,IPC trainings and hospital assessment have started in Skardu.  •,"IPC trainings and hospital assessment have started in Skardu.  • 
 IPC training is in progress for Railway General Hospital, Rawalpindi •"
1,2020-03-13,"IPC training is in progress for Railway General Hospital, Rawalpindi •","IPC trainings and hospital assessment have started in Skardu.  • 
 IPC training is in progress for Railway General Hospital, Rawalpindi •"
