Count,Date,Risk Assessment NIH
0,2020-03-11, moderate
0,2020-03-12, moderate
0,2020-03-13, moderate
0,2020-03-14, moderate
0,2020-03-15, moderate
0,2020-03-16, moderate
0,2020-03-17, moderate
0,2020-03-18, moderate
0,2020-03-19, high
0,2020-03-20, high
0,2020-03-21, high
0,2020-03-22, high
0,2020-03-23, high
0,2020-03-24, high
0,2020-03-25, high
0,2020-03-26, high
0,2020-03-27, high
0,2020-03-28, high
0,2020-03-29, high
0,2020-03-30, high
0,2020-03-31, high
0,2020-04-01, high
0,2020-04-02, high
0,2020-04-03, high
