Count,region,Provinces Preparedness and Response,Date,Agg Provinces Preparedness and Response
0,Balochistan,316 newly arrived individuals screened and quarantined at Taftan border in last 24 hours.   •,2020-03-11,"316 newly arrived individuals screened and quarantined at Taftan border in last 24 hours.   • 
 14 Chinese nationals quarantined at East Bay Expressway Chinese Camp, Gwadar. All found healthy with no sign of COVID-19   after doctors’ examination. •"
1,Balochistan,"14 Chinese nationals quarantined at East Bay Expressway Chinese Camp, Gwadar. All found healthy with no sign of COVID-19   after doctors’ examination. •",2020-03-11,"316 newly arrived individuals screened and quarantined at Taftan border in last 24 hours.   • 
 14 Chinese nationals quarantined at East Bay Expressway Chinese Camp, Gwadar. All found healthy with no sign of COVID-19   after doctors’ examination. •"
2,Sindh,"Staff deployed to designated quarantine facility at Gadap, Karachi.   •",2020-03-11,"Staff deployed to designated quarantine facility at Gadap, Karachi.   • 
 Training and orientation sessions for the health staff at Hyderabad started.   •"
3,Sindh,Training and orientation sessions for the health staff at Hyderabad started.   •,2020-03-11,"Staff deployed to designated quarantine facility at Gadap, Karachi.   • 
 Training and orientation sessions for the health staff at Hyderabad started.   •"
4,KP & TD,24 High Dependency Units established across KP.  •,2020-03-11,"24 High Dependency Units established across KP.  • 
 20 hospitals identified as back-up facilities across the province in case of escalation of the outbreak.   • 
 20 bed isolation and 5 bed in ICU at D.I Khan designated and staff oriented.   •"
5,KP & TD,20 hospitals identified as back-up facilities across the province in case of escalation of the outbreak.   •,2020-03-11,"24 High Dependency Units established across KP.  • 
 20 hospitals identified as back-up facilities across the province in case of escalation of the outbreak.   • 
 20 bed isolation and 5 bed in ICU at D.I Khan designated and staff oriented.   •"
6,KP & TD,20 bed isolation and 5 bed in ICU at D.I Khan designated and staff oriented.   •,2020-03-11,"24 High Dependency Units established across KP.  • 
 20 hospitals identified as back-up facilities across the province in case of escalation of the outbreak.   • 
 20 bed isolation and 5 bed in ICU at D.I Khan designated and staff oriented.   •"
7,GB,"280 healthcare workers oriented on COVID-19 IPC, case detection, surveillance and contact tracing.   •",2020-03-11,"280 healthcare workers oriented on COVID-19 IPC, case detection, surveillance and contact tracing.   •"
0,Balochistan,432 newly arrived individuals screened and quarantined at Taftan border in last 24 hours.   •,2020-03-12,"432 newly arrived individuals screened and quarantined at Taftan border in last 24 hours.   • 
 The contacts of first confirmed case contacted for detail investigation.   •"
1,Balochistan,The contacts of first confirmed case contacted for detail investigation.   •,2020-03-12,"432 newly arrived individuals screened and quarantined at Taftan border in last 24 hours.   • 
 The contacts of first confirmed case contacted for detail investigation.   •"
