Count,Cumulative Calls,Date,New Calls
0,12481,2020-03-11,547
0,13167,2020-03-12,686
0,13896,2020-03-13,729
0,15340,2020-03-14,1444
0,19131,2020-03-15,3791
0,26193,2020-03-16,7062
0,33427,2020-03-17,7234
0,41563,2020-03-18,8136
0,48786,2020-03-19,7223
0,56892,2020-03-20,8106
0,65602,2020-03-21,8710
0,65602,2020-03-22,8710
0,84700,2020-03-23,9654
0,93991,2020-03-24,9291
0,110052,2020-03-25,16061
0,152633,2020-03-26,42581
0,152633,2020-03-27,0
0,321600,2020-03-28,138062
0,449289,2020-03-29,128229
0,531628,2020-03-30,82799
0,620574,2020-03-31,88946
0,700728,2020-04-01,80154
0,772723,2020-04-02,71995
0,840021,2020-04-03,67298
