Count,Regions,Quarantine facilities (n),No. of arrivals in last 24 hrs,Cumulative no of persons present,Date
0,ICT,1,0,24,2020-04-01
1,Punjab,4,0,2956,2020-04-01
2,Sindh,5,0,1388,2020-04-01
3,KP,92,181,3260,2020-04-01
4,Balochistan,9,0,366,2020-04-01
5,AJK,13,210,373,2020-04-01
6,GB,47,0,526,2020-04-01
0,ICT,1,7,31,2020-04-02
1,Punjab,4,0,2956,2020-04-02
2,Sindh,5,0,1365,2020-04-02
3,KP,98,98,3223,2020-04-02
4,Balochistan,9,0,364,2020-04-02
5,AJK,37,5,188,2020-04-02
6,GB,47,3,529,2020-04-02
0,ICT,6,0,30,2020-04-03
1,Punjab,4,0,2956,2020-04-03
2,Sindh,5,0,1363,2020-04-03
3,KP,101,279,3312,2020-04-03
4,Balochistan,9,0,408,2020-04-03
5,AJK,37,22,197,2020-04-03
6,GB,47,0,227,2020-04-03
